"id","text","emotion"
"[149569891127660544]","[t-minus 10 minutes until interview timeeeee. #nervous]","[fear]"
"[138662274389901312]","[&i was praying that you&me might end up together..#love]","[love]"
"[148577813379825664]","[A little attitude problem all good itll make ishh last.. :) #Love]","[love]"
"[148973134249332737]","[I think I miss my boyfriend.. :( #lonely]","[sadness]"
"[138752710563467264]","[Had a good night :)  @teeeelouise  #happy]","[joy]"
"[136779386660720640]","[I love you my God! Im so proud of you, of what youve done for us:) You are truly amazing!!! #faith #love #God]","[love]"
"[139784166542811137]","[@TheMik_chaelas  Im always excited especially when it comes to my Adele. #Love]","[love]"
"[147539095172808705]","[@onsmith92  @sarah_marinara  miss both of you. caaant wait to see you guys #excited]","[joy]"
"[148807019959296000]","[Shoutout to everybody tell me #HappyBDay thank yall #Love]","[love]"
"[146726669003137024]","[Can already tell these people are going to drive me crazy!? Ugh. #annoyed @keh0415]","[anger]"
"[139090302739824640]","[@leenadalmartin how is the tennis going? #nervous]","[fear]"
"[142197700165771264]","[field trip= no school #happy]","[joy]"
"[135122553046966272]","[Aaliyahs Christmas is almost done ;) #Excitement]","[joy]"
"[149671581600321537]","[Watching  @justinbieber  Christmas special! <3 <3 <3 #LOVE #BieberOnTLC]","[love]"
"[142842947271004160]","[Am I the only #Mahomie who notices that  @AustinMahone  Has almost 300,000 Mahomies?!?!? <333 #PROUD]","[joy]"
"[138022026916020224]","[@vickylheywood  did you find your key #worried]","[fear]"
"[137647779513245696]","[MY LIFE IS LIKE A ROLLERCOASTER, COMING OFF THE TRACKS SPINNING ROUND AND ROUND  @tinchystryder  #LOVE !!!]","[love]"
"[140999444333215744]","[my phone dies like five times a day #annoying]","[anger]"
"[145316011837624320]","[x2! “ @Julia7089 : People who dont understand the stand on the right, walk on the left rule on elevators #annoying”]","[anger]"
"[148482073462710273]","[honored]","[sadness]"
"[142431086167863296]","[watching Home Alone.. love the family Christmas classic! #happy]","[joy]"
"[138452788316348416]","[adam levinne is my #love #sohot]","[love]"
"[144508655285440512]","[I think that beliebers ask too much for  @justinbieber  . He isnt Superman... #sad]","[sadness]"
"[146759152918736897]","[@XxSOo_DOPE_YOxX I heard a commercial on the radio last night that was talkin bout yu... #Proud!!]","[joy]"
"[144288312159506432]","[Dear God, thanks for my beautiful life and forgive me if I dont thank you enough #thankful]","[thankfulness]"
"[145655474740662272]","[I dont get this cold one day im good the next i feel like shit then better again #annoying]","[anger]"
"[140289584717238273]","[I think Im bout to buy a gas mask bong #Love]","[love]"
"[139522546386223104]","[Ugh. I have too continue my great turkey weekend with my dads gf and her 3 weird kids. #annoyed]","[anger]"
"[145143768553750528]","[Noel bazaar on the 14th!! Whos in?? #excited]","[joy]"
"[139483002722979841]","[Two big parcels from Francais just arrived courtesy the nicest mailman in the world.  #thankful]","[thankfulness]"
"[136934992004648962]","[random shout out to  @TeamJoMerr  Just because Jordan is my favorite Paradise Fears member :)]","[love]"
"[142024508256157696]","[I hate when I drive at night and people coming towards me or behind me have their brights on. #annoying]","[anger]"
"[143839033821368321]","[jack johnson as i write my research paper #love]","[love]"
"[142613174619877377]","[Wait, whats this #afterlife thingy?]","[joy]"
"[143533032714940417]","[Im only yours ! #love]","[love]"
"[136567868954394624]","[Wow...2 years ago today my life changed forever...I am proud of how far Ive come and looking forward to a bright & happy future #Thankful]","[thankfulness]"
"[145199863318056961]","[I wonder what the kardashians are doing right now  @KimKardashian  @KhloeKardashian  kourt k #love]","[love]"
"[143417241243885568]","[Enjoying the look on my brothers face after eating a wasabi nut with nutella on it #disgusting]","[anger]"
"[143170512070250498]","[Im by myself on a Saturday night...... #DEPRESSED]","[sadness]"
"[138001971864023041]","[@NathanTheWanted  Please could you wish me good luck with my prelims? :D It would honestly mean so much! #nervous xx]","[fear]"
"[137729325876252672]","[@StephEODonnell which is exactly why I never go to the shark #sad]","[sadness]"
