id,text,emotion
[2],"""[@RanaAyyub @rajnathsingh Oh, hidden revenge and anger...I rememberthe time,she rebutted you.]""","""[anger]"""
[3],"""[if not then #teamchristine bc all tana has done is provoke her by tweeting shady shit and trying to be a hard bitch begging for a fight]""","""[anger]"""
[4],"""[Hey @SuperValuIRL #Fields in #skibbereen give your online delivery service a horrible name. 1.5 hours late on the 1 hour delivery window.]""","""[anger]"""
[5],"""[Why have #Emmerdale had to rob #robron of having their first child together for that vile woman/cheating sl smh #bitter]""","""[anger]"""
[6],"""[@ThomasEWoods I would like to hear a podcast of you going off refuting her entire article. Extra indignation please.]""","""[anger]"""
[7],"""[If I have to hear one more time how I am intimidate men... I'm going to explode! Why are guys these days so pussified?]""","""[anger]"""
[8],"""[#RIPBiwott I think Robert oukos soul can now rejoice and rest in peace. Call an evil man evil and a good man a good man. He was an evil man]""","""[anger]"""
[9],"""[Time to #impeachtrump . He is #crazy #mentally #sick and spews #hatred . #America is in trouble with him having #access to #nuclearcodes 👎👎]""","""[anger]"""
[10],"""[That moment when you look back and realise you've been a #selfish #horrible #judgemental person. #FeelingAshamed]""","""[anger]"""
[11],"""[#Trump's only #concern is personal #profit through his #brand and doing #favors for others in trade for his own needs. Not #US #people.]""","""[anger]"""
[12],"""[@3lectric5heep Well that must sting doesn't it @CNN ?]""","""[anger]"""
[13],"""[I posted a snap of my dad, and someone thought he was my GRANDMOTHER #crying]""","""[anger]"""
[14],"""[@virtualalien there are more #frightening things in life\n\n#BeyondTheSphereOfReasonableDoubt]""","""[anger]"""
[15],"""[@skh4808 @theveteran425FA @TomiLahren Then why'd they wait until now to start getting pissy? ]""","""[anger]"""
[16],"""[Obama's 250+ offices of 'Organizing for Action' teaches #TheResistance #protesting #civildisobedience #treason #LOCKHIMUP #OFA ]""","""[anger]"""
[17],"""[Can't believe I've lost my phone get me home]""","""[anger]"""
[18],"""[----- #phobia = irrational fear of or aversion to something. Synonyms: dread, horror, terror, dislike, distaste, aversion BUT not a crime]""","""[anger]"""
[19],"""[@theIeansquad @SatanHeavenly Rap is so unbearable and horrific.]""","""[anger]"""
[20],"""[I have actually watch drugs destroy an entire family 😢Mother's on skid row. Oldest daughter lost her child. Father is estranged. #horrific]""","""[anger]"""
[21],"""[@sophieathertonn @lillynewtonx That's actually awful! You are in for a treat when you get home tho!!]""","""[anger]"""
[22],"""[Saw my first Larsen trap today with stressed magpie. I NEVER EVER want to see that again  #angry #distressed #wildlife]""","""[anger]"""
[23],"""[@nextofficial placed order for nearly a grand SIX weeks ago, called yesterday, order 'missing' and no call back today! #shocking]""","""[anger]"""
[24],"""[There's no excuse for making the same mistakes twice. Live &amp; Learn or deal with the consequences of being unhappy #truthbomb]""","""[anger]"""
[25],"""[@KitchenAidUSA  I spent over $500 on your mixer, yet the dough hook chips in my dough.  I buy a new one and the same thing happens. #unhappy]""","""[anger]"""
[26],"""[Holding on to anger is like drinking poison and expecting the other person to die.\n#KissablesLoveSMShopmag\nAllOutDenimFor KISSMARC]""","""[anger]"""
[27],"""[@byunsolo I DIDN'T ASK FOR THIS EITHER IT JUST HAPPENED 😤]""","""[anger]"""
[28],"""[Fuck small talk tell me about at what age did you start disappointing your parents]""","""[anger]"""
[29],"""[What's worse than feeling discouraged? Not finding an emoji for feeling discouraged]""","""[anger]"""
[30],"""[@1720maryknoll I was #fuming Kenny.]""","""[anger]"""
[31],"""[when we're offended. Lol]""","""[anger]"""
[32],"""[I haven't lost weight but I appear smaller and I'm pissed 🙄]""","""[anger]"""
[33],"""[To #Wyoming: you have a beautiful state but your road signs, or lack thereof, are terrible. #lost]""","""[anger]"""
[34],"""[Can't Talk To An Incompetent Person. Goes In One Ear and Out The Other. #irritated #NoPoint #MassiveEyeRoll]""","""[anger]"""
[35],"""[United Airline at Newark needs more Kiosks so that people won't miss their cut off time.  And hire more ppl too.  #horrible]""","""[anger]"""
[36],"""[We musn't allow bitterness and anger to make our hearts infertile to God’s gifts.]""","""[anger]"""
[37],"""[@JoshuaRozenberg Oh dear! #tantrums]""","""[anger]"""
[38],"""[Still #devastated and #sad #Tariq's #TariqLive channel is no more and #ProfessorBlackTruth as well. #YouTubeFAIL #EpicFAIL! #TariqNasheed 😢]""","""[anger]"""
[39],"""[maybe me and joey should have ignored each other on tinder and posted it on social media for a trip to Hawaii ☹️ #bitter]""","""[anger]"""
[40],"""[@britmerc69 Stop it. You'll discourage people 🙈]""","""[anger]"""
[41],"""[Threaten to leave your girl shaking in a wet spot ....]""","""[anger]"""
[42],"""[@_Buddh_ @rohit_mhpl @indujalali @rajnathsingh We are also wating when terrorism willb history. And one thing kashmir is not India's]""","""[anger]"""
[43],"""[@TeaPainUSA He's creating tomorrow's headline. #dontgetdistracted #RussianCollusion #Partofhisplan  #TrumpRussia #ImpeachOrResign]""","""[anger]"""
[44],"""[I've come to the conclusion that the online world is seriously 'fucked up' there's absolutely no other words to describe #bleak  #grim]""","""[anger]"""
[45],"""[@duthie @Carabao_Cup Lets not mention this again! #QPRvBRE ]""","""[anger]"""
[46],"""[Paul Ehrlich said that humanity is a threat to all life. Such great news to start the day. If I could blush I would.]""","""[anger]"""
