id,text,emotion
278054661042484023,[😋],[ surprise ]
136236038163733228,[😼],[ joy ]
449739571311493103,[😭],[ sadness ]
969868638732033781,[🙇],[ surprise ]
845646120687678918,[😻],[ surprise ]
813476795554606197,[😸],[ anger ]
567720158071015732,[😜],[ fear ]
562542308658655724,[😙],[ surprise ]
172681527151205052,[😋],[ fear ]
587343380207867628,[😗],[ joy ]
480509187334307984,[😰],[ sadness ]
237433751104892328,[😩],[ thankfulness ]
873817394511591542,[😥],[ sadness ]
880538491367476510,[😤],[ fear ]
225469615549864093,[😰],[ joy ]
132441662969621986,[😱],[ love ]
396684207442171395,[😼],[ fear ]
342903388887885330,[🙅],[ surprise ]
222531348702225459,[😵],[ thankfulness ]
942848920053914795,[😗],[ thankfulness ]
458560152040859339,[😦],[ thankfulness ]
605006895555044854,[😳],[ anger ]
474963709007882577,[🙌],[ fear ]
232863626800783165,[😮],[ fear ]
786706781661041944,[😫],[ sadness ]
572960520330995507,[😐],[ fear ]
508586135619053599,[😜],[ thankfulness ]
205871285488409194,[😸],[ fear ]
270124588685921820,[😌],[ love ]
538896225260620231,[😮],[ surprise ]
610501980502563381,[😸],[ love ]
355804582625308383,[😿],[ love ]
281651235279569007,[😂],[ thankfulness ]
201745053237049019,[😧],[ anger ]
806835192748319261,[😮],[ sadness ]
122816699199856310,[😝],[ sadness ]
440914085658332167,[😗],[ joy ]
911640161692399429,[😫],[ sadness ]
204465543012646856,[😱],[ thankfulness ]
182655346890183171,[😛],[ thankfulness ]
683152903827610135,[😌],[ surprise ]
536869583514844453,[🙊],[ joy ]
243596792582599524,[😦],[ anger ]
826076649192564966,[😰],[ surprise ]
969853508017018784,[🙈],[ fear ]
784837742094027920,[😐],[ anger ]
268125647997531170,[😴],[ fear ]
348920939165223824,[🙏],[ fear ]
559563981423472915,[😯],[ fear ]
193560339372921125,[😰],[ love ]
840309039784861227,[😊],[ joy ]
586655832915029033,[😪],[ thankfulness ]
854604982602211154,[😤],[ thankfulness ]
887842731526909943,[🙎],[ surprise ]
207187494987392239,[🙌],[ surprise ]
636445058251465454,[😠],[ joy ]
237340845769686969,[😼],[ joy ]
441558117244192220,[😡],[ thankfulness ]
138477352242290518,[🙂],[ joy ]
613850305406133922,[😎],[ joy ]
794106657110579121,[😋],[ surprise ]
567957891221694430,[😴],[ love ]
189991809168543014,[😰],[ thankfulness ]
958879745210589426,[😓],[ fear ]
690608420040650276,[😕],[ love ]
592942960865093540,[🙀],[ thankfulness ]
951008622686173065,[😞],[ love ]
601155624467319100,[😯],[ surprise ]
371651119334964061,[🙏],[ fear ]
472459315353086842,[😏],[ sadness ]
762793141881897356,[🙍],[ fear ]
795802988867063445,[🙆],[ surprise ]
726093743240909296,[😝],[ love ]
312342607995244822,[😱],[ joy ]
550167939806032889,[😷],[ sadness ]
304428704979151022,[🙃],[ love ]
981100994516824546,[😉],[ sadness ]
623248523313993356,[😝],[ love ]
975620839892426581,[😽],[ love ]
166834854568555926,[😬],[ anger ]
143149818633228508,[😗],[ anger ]
459472541393883296,[😊],[ surprise ]
280564241053982547,[😺],[ fear ]
153426029359316100,[🙉],[ thankfulness ]
281282294291490748,[🙉],[ love ]
147539845538927897,[🙃],[ surprise ]
744664148428833480,[🙌],[ joy ]
553681235863937437,[😍],[ thankfulness ]
812019175049502484,[🙀],[ fear ]
572169056573970527,[😉],[ sadness ]
211855916479293260,[😛],[ sadness ]
151572084008423895,[😲],[ fear ]
121868005229916777,[😨],[ thankfulness ]
806715735710306546,[😹],[ love ]
296975020584709815,[😺],[ joy ]
833187856783435401,[😣],[ fear ]
363887801906401860,[😃],[ thankfulness ]
764696568074700111,[😕],[ thankfulness ]
985621527155612596,[😓],[ anger ]
792523579209804933,[🙋],[ thankfulness ]
