[149569891127660544],"[t-minus 10 minutes until interview timeeeee. #nervous]",[fear] 
[144547020391194624],"[It doesnt really make sense that the Big EAST now has 4 teams from way WEST. #desperation]",[sadness] 
[138662274389901312],"[&i was praying that you&me might end up together..#love]",[love] 
[148577813379825664],"[A little attitude problem all good itll make ishh last.. :) #Love]",[love] 
[148973134249332737],"[I think I miss my boyfriend.. :( #lonely]",[sadness] 
[138752710563467264],"[Had a good night :)  @teeeelouise  #happy]",[joy] 
[136779386660720640],"[I love you my God! Im so proud of you, of what youve done for us:) You are truly amazing!!! #faith #love #God]",[love] 
[139784166542811137],"[@TheMik_chaelas  Im always excited especially when it comes to my Adele. #Love]",[love] 
[147539095172808705],"[@onsmith92  @sarah_marinara  miss both of you. caaant wait to see you guys #excited]",[joy] 
[148807019959296000],"[Shoutout to everybody tell me #HappyBDay thank yall #Love]",[love] 
[146726669003137024],"[Can already tell these people are going to drive me crazy!? Ugh. #annoyed @keh0415]",[anger] 
[139090302739824640],"[@leenadalmartin how is the tennis going? #nervous]",[fear] 
[142197700165771264],"[field trip= no school #happy]",[joy] 
[135122553046966272],"[Aaliyahs Christmas is almost done ;) #Excitement]",[joy] 
[149671581600321537],"[Watching  @justinbieber  Christmas special! <3 <3 <3 #LOVE #BieberOnTLC]",[love] 
[142842947271004160],"[Am I the only #Mahomie who notices that  @AustinMahone  Has almost 300,000 Mahomies?!?!? <333 #PROUD]",[joy] 
[138022026916020224],"[@vickylheywood  did you find your key #worried]",[fear] 
[137647779513245696],"[MY LIFE IS LIKE A ROLLERCOASTER, COMING OFF THE TRACKS SPINNING ROUND AND ROUND  @tinchystryder  #LOVE !!!]",[love] 
[140999444333215744],"[my phone dies like five times a day #annoying]",[anger] 
[145316011837624320],"[x2! “ @Julia7089 : People who dont understand the stand on the right, walk on the left rule on elevators #annoying”]",[anger] 
[148482073462710273],"[honored]",[sadness] 
[142431086167863296],"[watching Home Alone.. love the family Christmas classic! #happy]",[joy] 
[138452788316348416],"[adam levinne is my #love #sohot]",[love] 
[144508655285440512],"[I think that beliebers ask too much for  @justinbieber  . He isnt Superman... #sad]",[sadness] 
[146759152918736897],"[@XxSOo_DOPE_YOxX I heard a commercial on the radio last night that was talkin bout yu... #Proud!!]",[joy] 
[144288312159506432],"[Dear God, thanks for my beautiful life and forgive me if I dont thank you enough #thankful]",[thankfulness] 
[145655474740662272],"[I dont get this cold one day im good the next i feel like shit then better again #annoying]",[anger] 
[140289584717238273],"[I think Im bout to buy a gas mask bong #Love]",[love] 
[139522546386223104],"[Ugh. I have too continue my great turkey weekend with my dads gf and her 3 weird kids. #annoyed]",[anger] 
[145143768553750528],"[Noel bazaar on the 14th!! Whos in?? #excited]",[joy] 
[139483002722979841],"[Two big parcels from Francais just arrived courtesy the nicest mailman in the world.  #thankful]",[thankfulness] 
[136934992004648962],"[random shout out to  @TeamJoMerr  Just because Jordan is my favorite Paradise Fears member :)]",[love] 
[142024508256157696],"[I hate when I drive at night and people coming towards me or behind me have their brights on. #annoying]",[anger] 
[143839033821368321],"[jack johnson as i write my research paper #love]",[love] 
[142613174619877377],"[Wait, whats this #afterlife thingy?]",[joy] 
[143533032714940417],"[Im only yours ! #love]",[love] 
[136567868954394624],"[Wow...2 years ago today my life changed forever...I am proud of how far Ive come and looking forward to a bright & happy future #Thankful]",[thankfulness] 
[145199863318056961],"[I wonder what the kardashians are doing right now  @KimKardashian  @KhloeKardashian  kourt k #love]",[love] 
[143417241243885568],"[Enjoying the look on my brothers face after eating a wasabi nut with nutella on it #disgusting]",[anger] 
[143170512070250498],"[Im by myself on a Saturday night...... #DEPRESSED]",[sadness] 
[138001971864023041],"[@NathanTheWanted  Please could you wish me good luck with my prelims? :D It would honestly mean so much! #nervous xx]",[fear] 
[137729325876252672],"[@StephEODonnell which is exactly why I never go to the shark #sad]",[sadness] 
[148805843842904064],"[Wateva mks u happy, am down...#sad]",[sadness] 
[145687193770409984],"[Im currently defending all of 3 coats from the dangerous coat thieves at the village green. #exciting #sarcasm]",[joy] 
[138616601472794624],"[At this current time wouldnt have my life no other way #thankful]",[thankfulness] 
[147763648536907776],"[Gotta go see mom...and Grammy. #sad]",[sadness] 
[140113790715969536],"[My whole car just gave some homeless guy money. #Proud]",[joy] 
[149855958934372352],"[#WorstChristmasGiftEver your missus sitting on someone elses lap and asking for a present. #Rage]",[anger] 
[138569480614842368],"[Kellys scan today!!!! #excited <3]",[joy] 
[142649645858963457],"[Hoy le gané a la alarmaa..!! #proud :3]",[joy] 
[136529602913894400],"[hate when teachers talk about random crap that has NOTHING to do with the class at the end just so we stay the whole time #smh #annoyed]",[anger] 
[137236769186918401],"[About ta order these chicken tenders from adelphias (: #love]",[love] 
[142155107792977920],"[Son just gave us his Christmas wishlist. As an html file. With nested lists, divs, and a table. Color coded. #proud]",[joy] 
[145080722208718848],"[About to watch the LST Choir perform Christmas songs at the LST Lobby :) #Excited #Inspired #Advent]",[joy] 
[148871218076987393],"[Hey mom. Sometimes you dont have to talk bad about me. #annoyed #extremelyangry #idoalotofthingsthataregoodtoo]",[anger] 
[135234711038599169],"[11/11/11 made this day better than how it would of turned out! #happy]",[joy] 
[143916905051340801],"[@millertime3434  happy to have u following me #proud #coolestkidondrayersecondfloor]",[joy] 
[148970147254771712],"[@Z_Witt  is writing me a note tomorrrrrrow <3 #excited]",[joy] 
[135931500418961408],"[so i am very excited to be spending tuesday with my BFF  @LivCollins12  for her birthday goin to see Footloose #excited #birthdayparty]",[joy] 
[144824628613873666],"[@leicestermark  @alfieboe  me too! Front row in Bournemouth! #excited]",[joy] 
[141175257502449664],"[@BryWillz  good ish so tired from vacation last week!! I wish you still lived here :( #sad]",[sadness] 
[136920732675489792],"[I love when  @Ali_Miller  blames her awkward private experience thats now public on me... #annoying #liar]",[anger] 
[136123971182661632],"[Shes not here again #surprise]",[surprise] 
[142488672607019009],"[Bored at the moment! Tonight the weekend begins! #Excited]",[joy] 
[142017984276336641],"[@Brianna_Demuth I KNOW RIGHT!!! I realized that like 2 months ago! #sad]",[sadness] 
[135868407882072064],"[Eww we have school tommorw #depressing]",[sadness] 
[137499070695608320],"[working on a track.. its gonna be beautiful #music #love]",[love] 
[137742680695373824],"[Seriously if I get these dates approved ill be spending the night in atl b4 I hit augusta for homecoming.. #excited]",[joy] 
[145874685526163456],"[I search for You God of strength, I bow to You in my brokeness. I pray to You God of peace, I rest in You. #teamJesus #thankful]",[thankfulness] 
[147070618213416960],"[I seriously never get mail. #Depressing]",[sadness] 
[149326181639008256],"[@Kmartin014  they suck at announcing. #annoying]",[anger] 
[141376980284211200],"[just got a lot of motivation from looking at those pics... #disgusted]",[anger] 
[140304336407363584],"[i wish i had somebody to cuddle with right now #lonely]",[sadness] 
[142364637999013888],"[@maddisonphoto  Im not mad, just #disappointed]",[sadness] 
[142113821119619073],"[My  @marcusevans  Executive PA training is taking place today at the #TribeHotel in Nairobi. #excitement]",[joy] 
[138765524434825216],"[VKI dinner with mom! #happy]",[joy] 
[138935368664891393],"[@seriouslybl ooooo there were podcast?? :O I need to hear it asap lol, do you still have the link hun?? #excited]",[joy] 
[148117382206988288],"[who even are you anymore? #youchanged #yupisaidit #annoyed]",[anger] 
[148585829898534912],"[Bullies in bulletproof :D #Bliss]",[joy] 
[145221893312626688],"[The best part of the Twitter redesign?  The feather pen on the new tweet button.  #shegeek #designisawesome]",[sadness] 
[148717057817583618],"[Loved hearing the bewdley school people going to school, and just rolling over #bliss]",[joy] 
